UIK,voters,voted mobile,voted stationary,Turnout,Video
190,1344,17,310,0.243303571428571,1
191,682,7,182,0.277126099706745,0
192,1477,8,407,0.280974949221395,0
193,335,15,320,1,0
194,1399,21,389,0.293066476054325,0
195,1798,17,419,0.242491657397108,0
196,1164,45,336,0.327319587628866,0
197,331,67,69,0.410876132930514,0
198,329,6,134,0.425531914893617,0
199,659,73,191,0.400606980273141,0
200,824,43,271,0.381067961165049,0
201,1083,29,329,0.33056325023084,1
202,682,69,175,0.357771260997067,0
203,1702,38,338,0.220916568742656,1
204,760,61,354,0.546052631578947,0
205,213,24,45,0.323943661971831,0
206,1116,46,369,0.371863799283154,0
207,1029,41,312,0.343051506316812,0
208,1436,44,408,0.314763231197772,0
209,1458,56,414,0.322359396433471,0
210,598,57,176,0.389632107023411,0
3684,1053,4,278,0.267806267806268,0
3685,1073,4,296,0.279589934762349,0
3686,849,5,197,0.237926972909305,0
3687,969,12,228,0.247678018575851,0
3688,852,15,253,0.314553990610329,0
3689,930,13,218,0.248387096774194,0
3690,874,16,249,0.303203661327231,0
3691,570,23,165,0.329824561403509,0
3692,1170,9,362,0.317094017094017,0
3693,1337,18,324,0.255796559461481,1
3694,1394,29,381,0.294117647058824,1
3695,1212,9,279,0.237623762376238,0
3696,994,19,262,0.282696177062374,0
3697,1101,4,267,0.24613987284287,0
3698,527,27,100,0.240986717267552,0
3699,1461,25,324,0.238877481177276,0
3700,1353,35,280,0.232815964523282,1
3701,876,13,200,0.243150684931507,0
3702,551,34,149,0.332123411978221,0
3703,591,3,143,0.247038917089679,0
3704,795,19,170,0.237735849056604,0
3705,968,7,294,0.31095041322314,0
3706,857,134,306,0.513418903150525,0
3707,1305,23,280,0.232183908045977,0
3708,1459,6,370,0.257710760795065,1
3709,1231,16,339,0.28838342810723,0
3710,748,15,204,0.292780748663102,0
3711,1580,7,382,0.24620253164557,1
3712,1350,38,240,0.205925925925926,1
3713,1285,19,346,0.284046692607004,0
3714,803,86,219,0.379825653798257,0
3715,1044,36,273,0.295977011494253,0
211,1421,13,612,0.439831104855735,0
221,1922,17,506,0.272112382934443,1
222,1733,1,435,0.251586843623774,1
223,1640,7,375,0.232926829268293,1
224,1648,9,396,0.245752427184466,1
225,1702,10,371,0.22385428907168,1
226,1845,2,487,0.265040650406504,1
227,1648,4,402,0.246359223300971,1
228,2329,0,529,0.22713610991842,1
229,2695,4,552,0.206307977736549,1
230,1780,18,355,0.209550561797753,1
231,1594,12,322,0.209535759096612,1
232,1661,12,409,0.253461770018061,1
233,1675,12,521,0.318208955223881,1
234,1650,9,387,0.24,1
235,1687,13,393,0.240663900414938,1
236,1717,16,407,0.246359930110658,1
237,1614,33,403,0.270136307311029,1
238,1736,98,413,0.294354838709677,1
239,1656,18,302,0.193236714975845,1
240,1615,10,318,0.203095975232198,1
241,1084,31,169,0.18450184501845,1
242,1484,5,388,0.264824797843666,1
243,1493,23,328,0.235097119892833,1
244,1330,35,343,0.284210526315789,1
245,1896,61,365,0.224683544303797,1
246,1144,46,348,0.344405594405594,0
247,1430,3,337,0.237762237762238,1
248,1338,40,390,0.321375186846039,1
249,1248,45,424,0.375801282051282,1
250,1670,45,443,0.292215568862275,0
252,64,62,0,0.96875,0
253,1665,32,429,0.276876876876877,1
255,1933,45,471,0.26694257630626,1
256,1188,79,252,0.278619528619529,1
257,1725,91,610,0.406376811594203,1
258,1913,2,387,0.20334553058024,1
259,1365,3,287,0.212454212454212,1
260,1113,47,207,0.228212039532794,0
261,1292,46,392,0.339009287925697,1
262,1300,108,541,0.499230769230769,1
263,1720,50,434,0.281395348837209,1
264,1916,8,418,0.222338204592902,1
265,1712,28,657,0.400116822429907,1
266,1736,64,648,0.410138248847926,1
267,1614,137,462,0.371127633209418,1
268,1157,133,561,0.599827139152982,0
269,856,81,352,0.505841121495327,0
270,397,68,190,0.649874055415617,0
271,1523,195,872,0.70059093893631,1
272,1296,154,800,0.736111111111111,0
273,635,74,126,0.31496062992126,0
274,1455,107,259,0.251546391752577,1
275,1417,134,467,0.424135497529993,0
276,465,57,98,0.333333333333333,0
277,1606,154,774,0.577833125778331,0
278,285,27,202,0.803508771929825,0
279,1244,49,831,0.707395498392283,0
280,760,61,226,0.377631578947368,0
281,893,81,222,0.339305711086226,0
283,1548,195,695,0.574935400516796,0
284,1660,75,385,0.27710843373494,1
285,1332,123,588,0.533783783783784,1
286,875,61,262,0.369142857142857,0
287,1519,91,387,0.314680710994075,1
289,1144,33,218,0.219405594405594,1
290,1114,59,198,0.230700179533214,0
291,738,66,235,0.407859078590786,0
292,344,9,108,0.340116279069767,0
293,856,37,249,0.33411214953271,0
294,310,27,87,0.367741935483871,0
295,955,50,165,0.225130890052356,0
296,1167,45,262,0.263067694944302,0
297,1370,22,404,0.310948905109489,0
298,1641,280,480,0.463132236441194,0
300,1470,79,652,0.497278911564626,0
301,785,0,349,0.444585987261147,0
302,1581,86,1138,0.774193548387097,0
303,1515,65,752,0.539273927392739,0
304,1069,54,560,0.574368568755847,0
305,1693,46,327,0.220318960425281,1
306,900,16,441,0.507777777777778,0
307,1540,76,875,0.617532467532467,0
308,1453,67,876,0.649002064693737,0
309,1482,93,770,0.582321187584345,0
310,1209,106,575,0.563275434243176,0
311,894,74,289,0.406040268456376,0
312,1201,110,473,0.485428809325562,1
313,1020,91,513,0.592156862745098,0
314,790,143,420,0.712658227848101,0
315,1345,44,446,0.364312267657993,0
316,1822,28,218,0.135016465422613,0
317,1002,87,482,0.567864271457086,0
318,1667,7,388,0.236952609478104,0
319,1048,7,222,0.218511450381679,0
320,870,88,366,0.52183908045977,0
321,498,50,226,0.55421686746988,0
322,1616,32,792,0.50990099009901,0
323,298,40,114,0.516778523489933,0
324,982,244,403,0.658859470468432,0
326,1165,7,790,0.68412017167382,0
327,734,120,210,0.449591280653951,0
328,640,66,309,0.5859375,0
329,825,67,273,0.412121212121212,0
330,389,40,83,0.316195372750643,0
331,806,55,258,0.38833746898263,0
332,1066,115,642,0.710131332082552,0
333,995,97,430,0.52964824120603,1
334,475,48,280,0.690526315789474,0
336,1249,7,319,0.261008807045637,0
3716,1693,14,369,0.226225634967513,1
3717,1190,7,240,0.207563025210084,1
3718,1013,13,308,0.316880552813425,0
3719,1324,4,362,0.276435045317221,1
3720,1580,27,444,0.298101265822785,1
3721,1717,11,551,0.327315084449621,0
3722,1690,5,456,0.272781065088757,0
3723,1632,63,397,0.281862745098039,1
3724,1607,58,374,0.268823895457374,1
3725,1621,96,555,0.401603948180136,1
3726,1216,56,266,0.264802631578947,1
3727,1674,28,649,0.40442054958184,1
3728,734,30,474,0.686648501362398,0
3729,769,73,331,0.525357607282185,0
3730,838,34,397,0.514319809069212,0
3731,1212,109,715,0.67986798679868,0
251,158,34,124,1,0
254,96,4,92,1,0
337,366,5,113,0.322404371584699,0
338,43,0,23,0.534883720930233,0
339,862,7,279,0.331786542923434,0
340,1043,8,254,0.251198465963567,1
341,1405,15,328,0.244128113879004,1
342,1849,4,398,0.217414818820984,1
343,1644,12,288,0.182481751824818,1
344,897,5,244,0.277591973244147,0
345,1933,12,449,0.238489394723228,1
346,1207,1,521,0.432477216238608,0
347,1857,33,602,0.341949380721594,1
348,1548,46,415,0.297803617571059,1
349,2120,36,527,0.265566037735849,1
350,2025,15,494,0.251358024691358,1
351,1392,25,323,0.25,1
352,1359,23,311,0.245768947755703,1
353,2049,6,478,0.236212786725232,1
354,2333,12,583,0.255036433776254,1
355,784,2,237,0.30484693877551,0
356,2425,38,431,0.19340206185567,1
357,2357,19,460,0.203224437844718,1
358,2041,3,381,0.188143067123959,1
359,1489,1,428,0.28811282740094,1
360,2294,13,620,0.275937227550131,1
361,2552,2,461,0.181426332288401,0
362,1417,58,423,0.339449541284404,0
363,2198,4,491,0.225204731574158,1
364,1988,4,492,0.249496981891348,1
365,2039,20,486,0.24816086316822,1
366,1941,15,408,0.217928902627512,1
367,1712,6,367,0.217873831775701,1
368,985,3,263,0.27005076142132,0
369,2404,41,897,0.39018302828619,1
370,2119,6,455,0.217555450684285,1
371,568,10,126,0.23943661971831,0
372,2006,14,727,0.369391824526421,1
373,2611,8,894,0.345461509000383,0
374,1117,35,223,0.230975828111012,1
375,804,34,197,0.287313432835821,0
376,725,11,195,0.284137931034483,0
377,879,16,246,0.29806598407281,0
378,1789,5,289,0.164337618781442,0
651,1148,10,528,0.468641114982578,0
4201,2125,9,1142,0.541647058823529,0
4203,819,55,268,0.394383394383394,0
379,1141,13,279,0.255915863277826,1
380,1360,6,291,0.218382352941176,1
381,1496,40,351,0.261363636363636,1
382,797,17,333,0.439146800501882,0
383,1730,3,711,0.41271676300578,1
384,1591,23,575,0.375864236329353,0
385,1326,15,343,0.269984917043741,1
386,1452,27,359,0.265840220385675,1
387,1384,6,348,0.255780346820809,1
388,1302,15,459,0.36405529953917,1
389,1071,20,292,0.291316526610644,0
390,918,23,260,0.308278867102396,0
391,1424,8,352,0.252808988764045,1
392,1591,14,465,0.301068510370836,1
