UIK,voters,voted_mobile,voted_stationary,Turnout,Video
186,2057,54,605,0.32036947010209,1
187,1936,28,568,0.307851239669421,1
188,1774,24,558,0.328072153325817,1
189,1772,25,505,0.299097065462754,1
1904,169,0,167,0.988165680473373,0
1905,296,99,166,0.89527027027027,0
1906,314,26,285,0.990445859872611,0
1907,386,142,232,0.968911917098446,0
190,2709,110,941,0.38796603912883,1
191,2805,14,963,0.348306595365419,1
192,2130,107,792,0.42206572769953,1
193,2046,40,695,0.359237536656892,1
194,1616,17,588,0.374381188118812,0
195,1861,30,788,0.439548629768941,0
196,1965,23,539,0.286005089058524,1
197,2516,89,715,0.319554848966614,1
198,2338,30,718,0.319931565440547,1
199,2654,17,791,0.304446119065561,1
200,1863,35,771,0.432635534084809,1
201,2679,23,1112,0.423665546845838,1
202,1797,23,603,0.34835837506956,1
203,2062,39,690,0.353540252182347,1
204,2098,39,775,0.387988560533842,0
205,2514,57,801,0.341288782816229,1
206,2594,42,675,0.276407093292213,1
207,2300,33,739,0.335652173913043,1
208,2596,36,690,0.279661016949153,1
209,2361,31,492,0.221516306649725,1
210,2115,22,570,0.279905437352246,1
211,2531,118,811,0.367048597392335,1
212,1457,62,379,0.30267673301304,1
213,1721,12,533,0.316676350958745,1
214,1809,31,678,0.391929242675511,1
215,2473,61,723,0.317023857662758,1
216,2252,41,674,0.317495559502664,1
217,1985,40,737,0.391435768261965,1
218,1804,153,641,0.440133037694013,1
219,1343,21,528,0.408786299329859,0
220,2447,74,926,0.408663669799755,1
221,1505,29,757,0.522259136212625,1
222,2193,16,1126,0.520747834017328,1
1908,567,0,558,0.984126984126984,0
1909,594,0,586,0.986531986531986,0
1910,234,0,234,1,0
1911,211,0,211,1,0
223,2232,20,868,0.397849462365591,1
224,2212,37,761,0.360759493670886,1
225,2110,21,788,0.383412322274882,1
226,2613,19,816,0.319556065824723,0
227,2207,32,701,0.33212505663797,1
228,1620,20,489,0.314197530864198,1
229,2635,20,992,0.384060721062619,1
230,1999,17,831,0.424212106053027,1
231,2105,33,622,0.311163895486936,1
232,1676,200,442,0.383054892601432,1
233,2778,26,1052,0.388048956083513,1
234,2456,14,933,0.385586319218241,1
235,2633,5,1047,0.399544246107102,1
236,1285,15,263,0.216342412451362,1
237,1288,55,261,0.245341614906832,0
238,2097,57,602,0.314258464473057,0
239,2695,24,626,0.241187384044527,1
240,2229,26,488,0.230596680125617,1
241,2621,20,800,0.31285768790538,1
242,1811,30,404,0.23964660408614,1
243,2589,16,648,0.256469679412901,1
244,2537,153,463,0.242806464327946,1
245,1883,107,550,0.348911311736591,1
246,2449,40,518,0.227848101265823,1
247,1934,23,327,0.180972078593588,1
248,1956,12,415,0.218302658486708,1
249,2508,28,487,0.205342902711324,1
250,1948,19,527,0.280287474332649,1
251,1235,53,368,0.340890688259109,1
252,2550,45,592,0.249803921568627,1
253,2228,194,508,0.31508078994614,1
254,2174,23,507,0.243790248390064,0
255,1912,41,569,0.319037656903766,1
256,1119,18,342,0.32171581769437,1
257,2099,46,878,0.4402096236303,1
258,1955,31,689,0.368286445012788,1
259,1609,30,540,0.354257302672467,1
